year,study_title,outcome_measures,country,continents,data_analysis_method,definition_of_dyslipidemia_used,study_design,follow_up_duration,follow_up_duration_in_weeks,,exposure,method_for_assessing_adherence_(if_any),outcome_measures_2,data_analysis_method_2,"study_population_(size,_primary_vs_secondary_%,_other_characteristics)",findings,author,author_details,type_of_lipid-lowering_medication,cholesterol_marker,Goal,Goal_details,samplesize,numberofsors,prevalenceofsors,predictorofsors,effect_size_for_the_association_between_sors_and_cvd,limitations,confounding,confounding_/adjusted_variables
2023,Effects of Different Forms of Statins on Lipid Profile in Hyperlipidemic Patients,"change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C",Turkey,Other,"The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.",total cholesterol (TC) >200 mg dLâ€“1 and/or LDL-C >190 mg dLâ€“1,RCT,NA,NA,,"randomized to pitavastatin (2 mg), rosuvastatin (10 mg) and atorvastatin (20 mg) treatment once daily for 6 months","adherence to medications was estimated using medication possession ratio. This was calculated based on the sum of the daysâ€™ supply for all fills of the given drug in the period up to 1 year prior to the index date, divided by the number of days in that time period (some patients may have received a drug for less than a year).25 Using a threshold of 80%, we created a binary adherence variable with a ratio of 0.8 or higher as good adherence and lower as poor adherence.","change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C","The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.","older than 20 years of age and were diagnosed with hypercholesterolemia, primary prevention, A total of 234 male and female patients included","The rate of patients with LDL-C plasma level reduced by 30% (Fig. 1) was no different between the statins (atorvastatin 76.0%, rosuvastatin 75.1%, pitavastatin 75.7%, p = 0.11), as well (Fig. 2) the reduction >50% (atorvastatin 20.0%, rosuvastatin 27.1% and pitavastatin 26.8%, p = 0.55).
 
 Non-HDL cholesterol (Table 2) was similarly lowered by all statins, compared with basal values: -36.4, -37.1 and -33.9% with atorvastatin, rosuvastatin and pitavastatin, respectively (p<0.01), without significant difference at end of the follow-up (p = 0.27)",Bahar,2023,Different statins,LDL,30%,LDL reduction  ,218,54,0.244,"atorvastatin 24%, rosuvastatin 24.9%, pitavastatin 24.3%, p = 0.11)  ",NA,"Sample size was not calculated, (ii) Trial was not performed double-blind, however, a PROBE design was used and the treatment was randomized","Adjusted for age, SBP, DBP, TC, HDL-C, TG, and starting dose of simvastatin at baseline.",
2023,Effects of Different Forms of Statins on Lipid Profile in Hyperlipidemic Patients,"change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C",Turkey,Other,"The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.",total cholesterol (TC) >200 mg dLâ€“1 and/or LDL-C >190 mg dLâ€“2,RCT,NA,NA,,"randomized to pitavastatin (2 mg), rosuvastatin (10 mg) and atorvastatin (20 mg) treatment once daily for 6 months","adherence to medications was estimated using medication possession ratio. This was calculated based on the sum of the daysâ€™ supply for all fills of the given drug in the period up to 1 year prior to the index date, divided by the number of days in that time period (some patients may have received a drug for less than a year).25 Using a threshold of 80%, we created a binary adherence variable with a ratio of 0.8 or higher as good adherence and lower as poor adherence.","change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C","The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.","older than 20 years of age and were diagnosed with hypercholesterolemia, primary prevention, A total of 234 male and female patients included","The rate of patients with LDL-C plasma level reduced by 30% (Fig. 1) was no different between the statins (atorvastatin 76.0%, rosuvastatin 75.1%, pitavastatin 75.7%, p = 0.11), as well (Fig. 2) the reduction >50% (atorvastatin 20.0%, rosuvastatin 27.1% and pitavastatin 26.8%, p = 0.55).
 
 Non-HDL cholesterol (Table 2) was similarly lowered by all statins, compared with basal values: -36.4, -37.1 and -33.9% with atorvastatin, rosuvastatin and pitavastatin, respectively (p<0.01), without significant difference at end of the follow-up (p = 0.27)",Bahar,2023,Atorvastatin given,LDL,30%,LDL reduction  ,75,18,0.24,,NA,,,
2023,Effects of Different Forms of Statins on Lipid Profile in Hyperlipidemic Patients,"change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C",Turkey,Other,"The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.",total cholesterol (TC) >200 mg dLâ€“1 and/or LDL-C >190 mg dLâ€“3,RCT,NA,NA,,"randomized to pitavastatin (2 mg), rosuvastatin (10 mg) and atorvastatin (20 mg) treatment once daily for 6 months","adherence to medications was estimated using medication possession ratio. This was calculated based on the sum of the daysâ€™ supply for all fills of the given drug in the period up to 1 year prior to the index date, divided by the number of days in that time period (some patients may have received a drug for less than a year).25 Using a threshold of 80%, we created a binary adherence variable with a ratio of 0.8 or higher as good adherence and lower as poor adherence.","change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C","The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.","older than 20 years of age and were diagnosed with hypercholesterolemia, primary prevention, A total of 234 male and female patients included","The rate of patients with LDL-C plasma level reduced by 30% (Fig. 1) was no different between the statins (atorvastatin 76.0%, rosuvastatin 75.1%, pitavastatin 75.7%, p = 0.11), as well (Fig. 2) the reduction >50% (atorvastatin 20.0%, rosuvastatin 27.1% and pitavastatin 26.8%, p = 0.55).
 
 Non-HDL cholesterol (Table 2) was similarly lowered by all statins, compared with basal values: -36.4, -37.1 and -33.9% with atorvastatin, rosuvastatin and pitavastatin, respectively (p<0.01), without significant difference at end of the follow-up (p = 0.27)",Bahar,2023,Rosuvastatin,LDL,30%,LDL reduction  ,70,18,0.249,,NA,,,
2023,Effects of Different Forms of Statins on Lipid Profile in Hyperlipidemic Patients,"change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C",Turkey,Other,"The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.",total cholesterol (TC) >200 mg dLâ€“1 and/or LDL-C >190 mg dLâ€“4,RCT,NA,NA,,"randomized to pitavastatin (2 mg), rosuvastatin (10 mg) and atorvastatin (20 mg) treatment once daily for 6 months","adherence to medications was estimated using medication possession ratio. This was calculated based on the sum of the daysâ€™ supply for all fills of the given drug in the period up to 1 year prior to the index date, divided by the number of days in that time period (some patients may have received a drug for less than a year).25 Using a threshold of 80%, we created a binary adherence variable with a ratio of 0.8 or higher as good adherence and lower as poor adherence.","change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C","The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.","older than 20 years of age and were diagnosed with hypercholesterolemia, primary prevention, A total of 234 male and female patients included","The rate of patients with LDL-C plasma level reduced by 30% (Fig. 1) was no different between the statins (atorvastatin 76.0%, rosuvastatin 75.1%, pitavastatin 75.7%, p = 0.11), as well (Fig. 2) the reduction >50% (atorvastatin 20.0%, rosuvastatin 27.1% and pitavastatin 26.8%, p = 0.55).
 
 Non-HDL cholesterol (Table 2) was similarly lowered by all statins, compared with basal values: -36.4, -37.1 and -33.9% with atorvastatin, rosuvastatin and pitavastatin, respectively (p<0.01), without significant difference at end of the follow-up (p = 0.27)",Bahar,2023,Pitavastatin,LDL,30%,LDL reduction  ,73,18,0.243,,NA,,,
2023,Effects of Different Forms of Statins on Lipid Profile in Hyperlipidemic Patients,"change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C",Turkey,Other,"The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.",total cholesterol (TC) >200 mg dLâ€“1 and/or LDL-C >190 mg dLâ€“5,RCT,NA,NA,,"randomized to pitavastatin (2 mg), rosuvastatin (10 mg) and atorvastatin (20 mg) treatment once daily for 6 months","adherence to medications was estimated using medication possession ratio. This was calculated based on the sum of the daysâ€™ supply for all fills of the given drug in the period up to 1 year prior to the index date, divided by the number of days in that time period (some patients may have received a drug for less than a year).25 Using a threshold of 80%, we created a binary adherence variable with a ratio of 0.8 or higher as good adherence and lower as poor adherence.","change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C","The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.","older than 20 years of age and were diagnosed with hypercholesterolemia, primary prevention, A total of 234 male and female patients included","The rate of patients with LDL-C plasma level reduced by 30% (Fig. 1) was no different between the statins (atorvastatin 76.0%, rosuvastatin 75.1%, pitavastatin 75.7%, p = 0.11), as well (Fig. 2) the reduction >50% (atorvastatin 20.0%, rosuvastatin 27.1% and pitavastatin 26.8%, p = 0.55).
 
 Non-HDL cholesterol (Table 2) was similarly lowered by all statins, compared with basal values: -36.4, -37.1 and -33.9% with atorvastatin, rosuvastatin and pitavastatin, respectively (p<0.01), without significant difference at end of the follow-up (p = 0.27)",Bahar,2023,Different statins,LDL,50%,LDL reduction  ,218,166,0.75366667,"Atorvastatin 80%, rosuvastatin 72.9% and pitavastatin 73.2%, p-value of difference of prevalence = 0.55",NA,,,
2023,Effects of Different Forms of Statins on Lipid Profile in Hyperlipidemic Patients,"change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C",Turkey,Other,"The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.",total cholesterol (TC) >200 mg dLâ€“1 and/or LDL-C >190 mg dLâ€“6,RCT,NA,NA,,"randomized to pitavastatin (2 mg), rosuvastatin (10 mg) and atorvastatin (20 mg) treatment once daily for 6 months","adherence to medications was estimated using medication possession ratio. This was calculated based on the sum of the daysâ€™ supply for all fills of the given drug in the period up to 1 year prior to the index date, divided by the number of days in that time period (some patients may have received a drug for less than a year).25 Using a threshold of 80%, we created a binary adherence variable with a ratio of 0.8 or higher as good adherence and lower as poor adherence.","change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C","The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.","older than 20 years of age and were diagnosed with hypercholesterolemia, primary prevention, A total of 234 male and female patients included","The rate of patients with LDL-C plasma level reduced by 30% (Fig. 1) was no different between the statins (atorvastatin 76.0%, rosuvastatin 75.1%, pitavastatin 75.7%, p = 0.11), as well (Fig. 2) the reduction >50% (atorvastatin 20.0%, rosuvastatin 27.1% and pitavastatin 26.8%, p = 0.55).
 
 Non-HDL cholesterol (Table 2) was similarly lowered by all statins, compared with basal values: -36.4, -37.1 and -33.9% with atorvastatin, rosuvastatin and pitavastatin, respectively (p<0.01), without significant difference at end of the follow-up (p = 0.27)",Bahar,2023,Atorvastatin given,LDL,50%,LDL reduction  ,75,60,0.8,,NA,,,
2023,Effects of Different Forms of Statins on Lipid Profile in Hyperlipidemic Patients,"change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C",Turkey,Other,"The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.",total cholesterol (TC) >200 mg dLâ€“1 and/or LDL-C >190 mg dLâ€“7,RCT,NA,NA,,"randomized to pitavastatin (2 mg), rosuvastatin (10 mg) and atorvastatin (20 mg) treatment once daily for 6 months","adherence to medications was estimated using medication possession ratio. This was calculated based on the sum of the daysâ€™ supply for all fills of the given drug in the period up to 1 year prior to the index date, divided by the number of days in that time period (some patients may have received a drug for less than a year).25 Using a threshold of 80%, we created a binary adherence variable with a ratio of 0.8 or higher as good adherence and lower as poor adherence.","change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C","The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.","older than 20 years of age and were diagnosed with hypercholesterolemia, primary prevention, A total of 234 male and female patients included","The rate of patients with LDL-C plasma level reduced by 30% (Fig. 1) was no different between the statins (atorvastatin 76.0%, rosuvastatin 75.1%, pitavastatin 75.7%, p = 0.11), as well (Fig. 2) the reduction >50% (atorvastatin 20.0%, rosuvastatin 27.1% and pitavastatin 26.8%, p = 0.55).
 
 Non-HDL cholesterol (Table 2) was similarly lowered by all statins, compared with basal values: -36.4, -37.1 and -33.9% with atorvastatin, rosuvastatin and pitavastatin, respectively (p<0.01), without significant difference at end of the follow-up (p = 0.27)",Bahar,2023,Rosuvastatin,LDL,50%,LDL reduction  ,70,52,0.729,,NA,,,
2023,Effects of Different Forms of Statins on Lipid Profile in Hyperlipidemic Patients,"change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C",Turkey,Other,"The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.",total cholesterol (TC) >200 mg dLâ€“1 and/or LDL-C >190 mg dLâ€“8,RCT,NA,NA,,"randomized to pitavastatin (2 mg), rosuvastatin (10 mg) and atorvastatin (20 mg) treatment once daily for 6 months","adherence to medications was estimated using medication possession ratio. This was calculated based on the sum of the daysâ€™ supply for all fills of the given drug in the period up to 1 year prior to the index date, divided by the number of days in that time period (some patients may have received a drug for less than a year).25 Using a threshold of 80%, we created a binary adherence variable with a ratio of 0.8 or higher as good adherence and lower as poor adherence.","change of lipids (TC, LDL-C, HDL-C, LDL-C and TG) from baseline. Secondary endpoints included: The rate of subjects with LDL-C reduction >30% and 50%6,19 and the lowering effect on non-HDL-C","The ANOVA with Bonferroni correction, paired t-test and Chi-square test were used to compare continuous and categorical variables. Two-sided p<0.05 were considered statistically significant.","older than 20 years of age and were diagnosed with hypercholesterolemia, primary prevention, A total of 234 male and female patients included","The rate of patients with LDL-C plasma level reduced by 30% (Fig. 1) was no different between the statins (atorvastatin 76.0%, rosuvastatin 75.1%, pitavastatin 75.7%, p = 0.11), as well (Fig. 2) the reduction >50% (atorvastatin 20.0%, rosuvastatin 27.1% and pitavastatin 26.8%, p = 0.55).
 
 Non-HDL cholesterol (Table 2) was similarly lowered by all statins, compared with basal values: -36.4, -37.1 and -33.9% with atorvastatin, rosuvastatin and pitavastatin, respectively (p<0.01), without significant difference at end of the follow-up (p = 0.27)",Bahar,2023,Pitavastatin,LDL,50%,LDL reduction  ,73,54,0.732,,NA,,,
2022,Sex disparities in the effect of statins on lipid parameters: the PharmaLines Initiative,"sex difference in the mean percentage change (% mean difference, %MD) of TC, LDL-C, HDL-C, and TG level from baseline to follow-up and in the achievement of LDL-C treatment target (â‰¤2.5 mmol/L)
  the sex differences in the effect of statins separately for primary and secondary prevention and in participantsâ€™ adherence to statin",Netherlands,Europe,"Chi-square tests, independent sample t tests, and Mannâ€“Whitney U tests were used to compare categorical variables, normally-distributed continuous variables, and skewed variables, respectively
 A potential for collinearity between dependent and independent variables were examined before the linear regression analyses were performed. We looked at the Pearson correlation score (r) and the variance inflation factor (VIF) to detect multicollinearity. The presence of multicollinearity was suggested when r > 0.90 and VIF score >10",N/A,Cohort,2 years,104.286,,statin use and comparison was between men and women,,"sex difference in the mean percentage change (% mean difference, %MD) of TC, LDL-C, HDL-C, and TG level from baseline to follow-up and in the achievement of LDL-C treatment target (â‰¤2.5 mmol/L)
  the sex differences in the effect of statins separately for primary and secondary prevention and in participantsâ€™ adherence to statin","Chi-square tests, independent sample t tests, and Mannâ€“Whitney U tests were used to compare categorical variables, normally-distributed continuous variables, and skewed variables, respectively
 A potential for collinearity between dependent and independent variables were examined before the linear regression analyses were performed. We looked at the Pearson correlation score (r) and the variance inflation factor (VIF) to detect multicollinearity. The presence of multicollinearity was suggested when r > 0.90 and VIF score >10","participants â‰¥40 years of age at the index date, defined as the date of the first prescription of any statin monotherapy, 5366 patients","the differences in the mean percentage change of TC, LDL-C, and TG from baseline between the sexes were not statistically significant. 
 The proportion of men and women who attained the LDL-C treatment target was similar, only 37% for both groups. 
 The adherent rates were moderate (73.1% in men and 72.0% in women) and also similar between the sexes",Hunt,2022,Different statins,LDL,96.67 mg/dL  ,in men (2.5 mmol/L)  ,282,177,0.628,"Adjusted OR for Female vs Male: 1.22 (0.82, 1.82; p-value=0.322)",NA,"study might lack statistical power to detect smaller differences between sexes due to a relatively small sample size included in the analysis. Only 1% of participants in the final linked database initiated statins between their 2 Lifelines appointments and performing a complete-case analysis contributed to a low precision, notably in subgroups.","Cambridge Multimorbidity Score (general outcome based on 37 long-term conditions), the number of GP consultations in the last 2 years, neighbourhood socioeconomic deprivation level divided into deciles (based on the national Index of Multiple Deprivation,29 30 whether the patient had or had not received a medication review within the last year prior the index date, gender and age (categorised between 30 and 49, between 50 and 64, between 65 and 84, and those 85 or older).",
2022,Sex disparities in the effect of statins on lipid parameters: the PharmaLines Initiative,"sex difference in the mean percentage change (% mean difference, %MD) of TC, LDL-C, HDL-C, and TG level from baseline to follow-up and in the achievement of LDL-C treatment target (â‰¤2.5 mmol/L)
  the sex differences in the effect of statins separately for primary and secondary prevention and in participantsâ€™ adherence to statin",Netherlands,Europe,"Chi-square tests, independent sample t tests, and Mannâ€“Whitney U tests were used to compare categorical variables, normally-distributed continuous variables, and skewed variables, respectively
 A potential for collinearity between dependent and independent variables were examined before the linear regression analyses were performed. We looked at the Pearson correlation score (r) and the variance inflation factor (VIF) to detect multicollinearity. The presence of multicollinearity was suggested when r > 0.90 and VIF score >11",N/A,Cohort,3 years,156.429,,statin use and comparison was between men and women,,"sex difference in the mean percentage change (% mean difference, %MD) of TC, LDL-C, HDL-C, and TG level from baseline to follow-up and in the achievement of LDL-C treatment target (â‰¤2.5 mmol/L)
  the sex differences in the effect of statins separately for primary and secondary prevention and in participantsâ€™ adherence to statin","Chi-square tests, independent sample t tests, and Mannâ€“Whitney U tests were used to compare categorical variables, normally-distributed continuous variables, and skewed variables, respectively
 A potential for collinearity between dependent and independent variables were examined before the linear regression analyses were performed. We looked at the Pearson correlation score (r) and the variance inflation factor (VIF) to detect multicollinearity. The presence of multicollinearity was suggested when r > 0.90 and VIF score >11","participants â‰¥40 years of age at the index date, defined as the date of the first prescription of any statin monotherapy, 5366 patients","the differences in the mean percentage change of TC, LDL-C, and TG from baseline between the sexes were not statistically significant. 
 The proportion of men and women who attained the LDL-C treatment target was similar, only 37% for both groups. 
 The adherent rates were moderate (73.1% in men and 72.0% in women) and also similar between the sexes",Hunt,2022,Different statins,LDL,96.67 mg/dL  ,in women (2.5 mmol/L)  ,289,188,0.626,NA,NA,,,
